Run,Week,Price,Sales,Remaining Inventory,Your Revenue,Perfect Revenue,Difference (%)
1,1,60,137,1863,89028,120000,25.8
1,2,60,162,1701,89028,120000,25.8
1,3,60,101,1600,89028,120000,25.8
1,4,60,178,1422,89028,120000,25.8
1,5,48,263,1159,89028,120000,25.8
1,6,36,272,887,89028,120000,25.8
1,7,36,377,510,89028,120000,25.8
1,8,36,510,0,89028,120000,25.8
1,9,36,0,0,89028,120000,25.8
1,10,36,0,0,89028,120000,25.8
1,11,36,0,0,89028,120000,25.8
1,12,36,0,0,89028,120000,25.8
1,13,36,0,0,89028,120000,25.8
1,14,36,0,0,89028,120000,25.8
1,15,36,0,0,89028,120000,25.8
2,1,60,100,1900,89694,100926,11.1
2,2,60,153,1747,89694,100926,11.1
2,3,60,73,1674,89694,100926,11.1
2,4,60,35,1639,89694,100926,11.1
2,5,54,47,1592,89694,100926,11.1
2,6,48,167,1425,89694,100926,11.1
2,7,48,148,1277,89694,100926,11.1
2,8,48,145,1132,89694,100926,11.1
2,9,48,222,910,89694,100926,11.1
2,10,36,341,569,89694,100926,11.1
2,11,36,266,303,89694,100926,11.1
2,12,36,234,69,89694,100926,11.1
2,13,36,69,0,89694,100926,11.1
2,14,36,0,0,89694,100926,11.1
2,15,36,0,0,89694,100926,11.1
3,1,60,99,1901,86436,110838,22
3,2,60,85,1816,86436,110838,22
3,3,60,120,1696,86436,110838,22
3,4,60,93,1603,86436,110838,22
3,5,54,98,1505,86436,110838,22
3,6,48,262,1243,86436,110838,22
3,7,36,391,852,86436,110838,22
3,8,36,201,651,86436,110838,22
3,9,36,364,287,86436,110838,22
3,10,36,287,0,86436,110838,22
3,11,36,0,0,86436,110838,22
3,12,36,0,0,86436,110838,22
3,13,36,0,0,86436,110838,22
3,14,36,0,0,86436,110838,22
3,15,36,0,0,86436,110838,22
4,1,60,45,1955,56268,67788,17
4,2,60,36,1919,56268,67788,17
4,3,60,61,1858,56268,67788,17
4,4,60,34,1824,56268,67788,17
4,5,60,37,1787,56268,67788,17
4,6,54,60,1727,56268,67788,17
4,7,48,92,1635,56268,67788,17
4,8,48,91,1544,56268,67788,17
4,9,48,121,1423,56268,67788,17
4,10,48,47,1376,56268,67788,17
4,11,36,98,1278,56268,67788,17
4,12,36,115,1163,56268,67788,17
4,13,36,151,1012,56268,67788,17
4,14,36,109,903,56268,67788,17
4,15,36,177,726,56268,67788,17
5,1,60,89,1911,84384,101508,16.9
5,2,60,124,1787,84384,101508,16.9
5,3,60,92,1695,84384,101508,16.9
5,4,60,87,1608,84384,101508,16.9
5,5,60,75,1533,84384,101508,16.9
5,6,48,98,1435,84384,101508,16.9
5,7,36,318,1117,84384,101508,16.9
5,8,36,62,1055,84384,101508,16.9
5,9,36,287,768,84384,101508,16.9
5,10,36,349,419,84384,101508,16.9
5,11,36,333,86,84384,101508,16.9
5,12,36,86,0,84384,101508,16.9
5,13,36,0,0,84384,101508,16.9
5,14,36,0,0,84384,101508,16.9
5,15,36,0,0,84384,101508,16.9
6,1,60,61,1939,78120,85608,8.7
6,2,60,75,1864,78120,85608,8.7
6,3,60,63,1801,78120,85608,8.7
6,4,60,56,1745,78120,85608,8.7
6,5,36,158,1587,78120,85608,8.7
6,6,36,192,1395,78120,85608,8.7
6,7,36,111,1284,78120,85608,8.7
6,8,36,147,1137,78120,85608,8.7
6,9,36,344,793,78120,85608,8.7
6,10,36,125,668,78120,85608,8.7
6,11,36,77,591,78120,85608,8.7
6,12,36,172,419,78120,85608,8.7
6,13,36,238,181,78120,85608,8.7
6,14,36,181,0,78120,85608,8.7
6,15,36,0,0,78120,85608,8.7
7,1,60,116,1884,82656,109242,24.3
7,2,60,91,1793,82656,109242,24.3
7,3,60,74,1719,82656,109242,24.3
7,4,60,92,1627,82656,109242,24.3
7,5,48,142,1485,82656,109242,24.3
7,6,36,343,1142,82656,109242,24.3
7,7,36,407,735,82656,109242,24.3
7,8,36,143,592,82656,109242,24.3
7,9,36,399,193,82656,109242,24.3
7,10,36,182,11,82656,109242,24.3
7,10,36,182,11,82656,109242,24.3
7,12,36,0,0,82656,109242,24.3
7,13,36,0,0,82656,109242,24.3
7,14,36,0,0,82656,109242,24.3
7,15,36,0,0,82656,109242,24.3
8,1,60,79,1921,78624,91404,14
8,2,60,71,1850,78624,91404,14
8,3,60,52,1798,78624,91404,14
8,4,60,74,1724,78624,91404,14
8,5,36,288,1436,78624,91404,14
8,6,36,260,1176,78624,91404,14
8,7,36,241,935,78624,91404,14
8,8,36,318,617,78624,91404,14
8,9,36,137,480,78624,91404,14
8,10,36,222,258,78624,91404,14
8,11,36,199,59,78624,91404,14
