Week,Price,Sales,Remaining Inventory,Run,Your Revenue,Perfect Revenue,Difference (%)
1,60,110,1890,1,98094,109872,10.7
2,54,129,1761,1,98094,109872,10.7
3,48,181,1580,1,98094,109872,10.7
4,48,166,1414,1,98094,109872,10.7
5,48,109,1305,1,98094,109872,10.7
6,48,240,1065,1,98094,109872,10.7
7,48,217,848,1,98094,109872,10.7
8,48,222,626,1,98094,109872,10.7
9,48,316,310,1,98094,109872,10.7
10,48,96,214,1,98094,109872,10.7
11,48,172,42,1,98094,109872,10.7
12,48,42,0,1,98094,109872,10.7
13,48,0,0,1,98094,109872,10.7
14,48,0,0,1,98094,109872,10.7
15,48,0,0,1,98094,109872,10.7
1,60,68,1932,2,80226,86436,7.2
2,54,123,1809,2,80226,86436,7.2
3,48,133,1676,2,80226,86436,7.2
4,48,110,1566,2,80226,86436,7.2
5,48,126,1440,2,80226,86436,7.2
6,48,83,1357,2,80226,86436,7.2
7,48,140,1217,2,80226,86436,7.2
8,48,67,1150,2,80226,86436,7.2
9,48,144,1006,2,80226,86436,7.2
10,48,98,908,2,80226,86436,7.2
11,48,110,798,2,80226,86436,7.2
12,48,138,660,2,80226,86436,7.2
13,48,63,597,2,80226,86436,7.2
14,48,178,419,2,80226,86436,7.2
15,48,58,361,2,80226,86436,7.2
1,60,76,1924,3,73068,81432,10.3
2,54,58,1866,3,73068,81432,10.3
3,48,72,1794,3,73068,81432,10.3
4,48,134,1660,3,73068,81432,10.3
5,48,157,1503,3,73068,81432,10.3
6,48,120,1383,3,73068,81432,10.3
7,48,72,1311,3,73068,81432,10.3
8,48,78,1233,3,73068,81432,10.3
9,48,120,1113,3,73068,81432,10.3
10,48,86,1027,3,73068,81432,10.3
11,48,125,902,3,73068,81432,10.3
12,48,26,876,3,73068,81432,10.3
13,48,108,768,3,73068,81432,10.3
14,48,164,604,3,73068,81432,10.3
15,48,100,504,3,73068,81432,10.3
1,60,56,1944,4,65964,76584,13.9
2,54,82,1862,4,65964,76584,13.9
3,48,84,1778,4,65964,76584,13.9
4,48,76,1702,4,65964,76584,13.9
5,48,38,1664,4,65964,76584,13.9
6,48,85,1579,4,65964,76584,13.9
